SpotID,Day,Month,Date,Year,Hour,Minute,Second,Status
8,Friday,6,10,2225,11,55,46,1
2,Tuesday,6,10,2025,10,28,53,0
4,Tuesday,6,10,2025,21,12,54,0
7,Tuesday,6,10,2025,17,4,59,1
8,Tuesday,6,10,2025,11,3,53,1
13,Tuesday,6,10,2025,15,2,51,1
5,Tuesday,6,10,2025,10,30,53,1
14,Tuesday,6,10,2025,11,0,53,1
7,Tuesday,6,10,2025,8,57,46,1
1,Tuesday,6,10,2025,16,19,54,0
7,Tuesday,6,10,2025,19,38,51,0
11,Tuesday,6,10,2025,18,49,11,0
2,Tuesday,6,10,2025,7,44,44,0
9,Tuesday,6,10,2025,7,44,44,1
13,Tuesday,6,10,2025,17,27,53,1
6,Friday,6,10,2225,11,56,46,1
7,Tuesday,6,10,2025,15,45,54,1
14,Tuesday,6,10,2025,17,9,59,1
12,Tuesday,6,10,2025,18,44,11,1
7,Tuesday,6,10,2025,10,54,53,1
4,Tuesday,6,10,2025,16,6,54,1
2,Tuesday,6,10,2025,19,20,52,0
13,Tuesday,6,10,2025,19,23,51,0
10,Tuesday,6,10,2025,14,48,51,1
7,Tuesday,6,10,2025,9,19,46,1
8,Tuesday,6,10,2025,12,58,43,1
3,Tuesday,6,10,2025,14,31,51,0
5,Tuesday,6,10,2025,8,32,46,1
8,Tuesday,6,10,2025,8,24,46,0
12,Tuesday,6,10,2025,18,33,11,1
3,Tuesday,6,10,2025,18,32,11,0
8,Tuesday,6,10,2025,8,20,44,0
4,Tuesday,6,10,2025,13,20,48,1
8,Tuesday,6,10,2025,18,36,11,0
3,Tuesday,6,10,2025,9,47,50,0
2,Tuesday,6,10,2025,18,57,11,0
14,Tuesday,6,10,2025,13,0,43,1
11,Tuesday,6,10,2025,15,45,54,1
14,Tuesday,6,10,2025,16,52,59,1
6,Tuesday,6,10,2025,9,16,46,0
9,Tuesday,6,10,2025,17,31,53,0
5,Tuesday,6,10,2025,19,45,51,0
6,Tuesday,6,10,2025,13,30,47,1
12,Tuesday,6,10,2025,12,21,43,1
5,Tuesday,6,10,2025,16,2,54,1
13,Tuesday,6,10,2025,8,58,46,1
10,Tuesday,6,10,2025,7,28,44,0
13,Tuesday,6,10,2025,14,54,51,1
5,Tuesday,6,10,2025,13,4,43,1
12,Tuesday,6,10,2025,8,12,44,1
9,Tuesday,6,10,2025,7,53,44,1
1,Tuesday,6,10,2025,19,14,11,0
9,Tuesday,6,10,2025,14,2,47,1
7,Tuesday,6,10,2025,16,55,59,1
5,Tuesday,6,10,2025,17,58,53,0
5,Tuesday,6,10,2025,16,43,59,0
2,Tuesday,6,10,2025,16,2,54,0
6,Tuesday,6,10,2025,8,23,46,0
11,Tuesday,6,10,2025,15,25,54,1
2,Tuesday,6,10,2025,13,13,43,0
13,Friday,6,10,2225,11,41,46,1
2,Tuesday,6,10,2025,16,33,59,0
