SpotID,Day,Month,Date,Year,Hour,Minute,Second,Status
13,Friday,6,27,2025,14,28,11,1
3,Friday,6,27,2025,7,32,4,0
6,Friday,6,27,2025,15,54,16,0
11,Friday,6,27,2025,15,13,16,1
11,Friday,6,27,2025,11,26,19,1
12,Friday,6,27,2025,19,54,13,1
7,Friday,6,27,2025,8,51,8,1
4,Friday,6,27,2025,7,6,4,1
9,Friday,6,27,2025,12,56,5,1
3,Friday,6,27,2025,16,15,19,0
8,Friday,6,27,2025,16,22,19,0
6,Friday,6,27,2025,7,8,4,0
11,Friday,6,27,2025,17,1,4,0
3,Friday,6,27,2025,10,18,15,0
11,Friday,6,27,2025,8,48,8,1
11,Friday,6,27,2025,19,52,13,0
13,Friday,6,27,2025,18,16,10,0
7,Friday,6,27,2025,14,34,11,1
5,Friday,6,27,2025,17,2,4,0
12,Friday,6,27,2025,11,22,19,1
4,Friday,6,27,2025,14,7,11,0
10,Friday,6,27,2025,20,44,15,0
4,Friday,6,27,2025,8,48,8,1
14,Friday,6,27,2025,11,39,19,1
1,Friday,6,27,2025,8,55,8,0
11,Friday,6,27,2025,17,10,4,0
4,Friday,6,27,2025,19,10,13,0
5,Friday,6,27,2025,15,1,16,0
11,Friday,6,27,2025,19,29,13,0
5,Friday,6,27,2025,17,55,4,0
11,Friday,6,27,2025,14,45,11,1
7,Friday,6,27,2025,8,59,8,1
1,Friday,6,27,2025,17,53,4,0
8,Friday,6,27,2025,7,22,4,0
14,Friday,6,27,2025,8,24,8,0
6,Friday,6,27,2025,15,52,16,0
5,Friday,6,27,2025,19,34,13,0
11,Friday,6,27,2025,7,30,4,1
3,Friday,6,27,2025,14,17,11,0
4,Friday,6,27,2025,16,0,16,0
4,Friday,6,27,2025,14,56,11,0
11,Friday,6,27,2025,15,10,16,1
9,Friday,6,27,2025,13,36,8,1
7,Friday,6,27,2025,20,0,16,0
6,Friday,6,27,2025,11,52,19,0
6,Friday,6,27,2025,7,55,4,0
6,Friday,6,27,2025,11,34,19,0
5,Friday,6,27,2025,11,26,19,0
11,Friday,6,27,2025,18,1,10,0
6,Friday,6,27,2025,15,7,16,0
7,Friday,6,27,2025,15,27,16,1
8,Friday,6,27,2025,13,6,8,0
14,Friday,6,27,2025,18,7,10,0
