SpotID,Day,Month,Date,Year,Hour,Minute,Second,Status
14,Thursday,6,19,2025,19,51,11,0
6,Friday,6,13,2025,7,51,4,0
7,Tuesday,6,17,2025,11,52,17,1
7,Saturday,6,21,2025,17,15,7,0
9,Tuesday,6,17,2025,13,20,7,1
12,Thursday,6,12,2025,10,43,15,1
9,Thursday,6,19,2025,16,2,17,1
5,Saturday,6,21,2025,8,24,7,0
9,Tuesday,6,17,2025,16,42,18,1
5,Friday,6,10,2225,11,50,46,1
3,Wednesday,6,18,2025,19,42,52,0
11,Thursday,6,19,2025,19,23,11,0
7,Wednesday,6,11,2025,9,0,7,1
13,Thursday,6,12,2025,18,33,9,0
13,Friday,6,13,2025,7,18,4,0
13,Friday,6,20,2025,7,0,5,0
13,Friday,6,20,2025,9,0,6,1
2,Wednesday,6,11,2025,18,59,10,0
12,Tuesday,6,10,2025,16,31,59,1
5,Friday,6,13,2025,13,59,9,1
7,Sunday,6,22,2025,12,32,3,0
5,Sunday,6,22,2025,19,31,12,0
12,Thursday,6,12,2025,9,56,12,1
6,Thursday,6,12,2025,18,27,9,0
5,Tuesday,6,17,2025,9,24,9,1
12,Wednesday,6,11,2025,17,37,6,1
14,Sunday,6,22,2025,19,38,12,0
10,Sunday,6,22,2025,13,41,8,0
9,Friday,6,13,2025,7,37,4,0
13,Thursday,6,19,2025,15,33,13,0
5,Thursday,6,12,2025,12,59,4,1
3,Sunday,6,22,2025,7,13,4,0
2,Tuesday,6,17,2025,13,41,7,1
12,Friday,6,20,2025,11,23,17,1
14,Tuesday,6,10,2025,17,34,53,1
11,Friday,6,13,2025,10,36,15,1
3,Thursday,6,19,2025,17,32,5,0
13,Saturday,6,21,2025,18,55,7,0
5,Thursday,6,12,2025,10,53,15,1
10,Tuesday,6,17,2025,20,6,15,0
13,Sunday,6,22,2025,8,30,7,0
6,Saturday,6,21,2025,13,46,8,0
6,Thursday,6,12,2025,14,9,12,1
14,Tuesday,6,10,2025,18,31,11,0
14,Thursday,6,12,2025,7,11,4,0
14,Friday,6,13,2025,9,26,10,1
9,Wednesday,6,11,2025,13,23,9,1
3,Thursday,6,12,2025,14,26,12,0
12,Wednesday,6,11,2025,13,25,9,1
5,Tuesday,6,10,2025,8,21,46,1
12,Thursday,6,12,2025,14,37,12,1
1,Friday,6,20,2025,18,10,9,0
1,Thursday,6,19,2025,9,53,8,0
13,Friday,6,13,2025,14,4,12,0
8,Tuesday,6,10,2025,19,36,51,0
5,Saturday,6,21,2025,17,51,7,0
10,Sunday,6,22,2025,18,47,10,0
14,Saturday,6,21,2025,12,49,6,0
10,Saturday,6,21,2025,12,48,6,0
12,Sunday,6,22,2025,10,33,14,1
5,Sunday,6,22,2025,20,43,17,0
4,Thursday,6,12,2025,7,37,4,0
2,Thursday,6,19,2025,13,25,6,0
10,Tuesday,6,17,2025,17,34,4,0
4,Thursday,6,12,2025,19,51,13,1
9,Wednesday,6,11,2025,11,19,18,1
3,Wednesday,6,11,2025,19,32,12,0
4,Sunday,6,22,2025,15,42,15,0
8,Friday,6,20,2025,12,22,4,0
14,Sunday,6,22,2025,13,30,8,0
9,Wednesday,6,11,2025,12,49,4,1
4,Wednesday,6,11,2025,15,42,16,0
13,Tuesday,6,17,2025,11,31,17,1
6,Friday,6,20,2025,8,39,6,0
1,Friday,6,13,2025,8,24,8,0
2,Saturday,6,21,2025,18,19,7,0
1,Wednesday,6,18,2025,17,32,58,0
10,Thursday,6,19,2025,16,44,17,1
5,Sunday,6,22,2025,17,18,6,0
3,Tuesday,6,17,2025,9,36,9,0
14,Friday,6,13,2025,7,14,4,1
9,Sunday,6,22,2025,19,25,12,0
4,Wednesday,6,18,2025,18,27,1,0
11,Thursday,6,12,2025,14,34,12,1
2,Wednesday,6,11,2025,14,32,11,1
9,Thursday,6,19,2025,17,48,5,0
13,Tuesday,6,10,2025,20,50,54,0
4,Tuesday,6,17,2025,17,19,4,1
1,Sunday,6,22,2025,14,37,11,0
12,Thursday,6,12,2025,11,57,18,1
13,Sunday,6,22,2025,15,15,15,0
13,Friday,6,13,2025,13,2,9,1
14,Sunday,6,22,2025,8,29,7,0
13,Sunday,6,22,2025,12,38,3,0
10,Saturday,6,21,2025,17,25,7,0
14,Sunday,6,22,2025,18,23,10,0
