SpotID,Month,Day,Year,Hour,Minute,Second,Status
spot_1,6,Tuesday,2025,7,20,45,0
spot_2,6,Tuesday,2025,7,20,45,0
spot_1,6,Tuesday,2025,7,21,44,0
spot_2,6,Tuesday,2025,7,21,44,0
spot_1,6,Tuesday,2025,7,22,44,0
spot_2,6,Tuesday,2025,7,22,44,0
spot_1,6,Tuesday,2025,7,23,44,0
spot_2,6,Tuesday,2025,7,23,44,0
spot_1,6,Tuesday,2025,7,24,44,0
spot_2,6,Tuesday,2025,7,24,44,0
spot_1,6,Tuesday,2025,7,20,45,0
spot_2,6,Tuesday,2025,7,20,45,0
spot_3,6,Tuesday,2025,7,20,45,0
spot_4,6,Tuesday,2025,7,20,45,0
spot_5,6,Tuesday,2025,7,20,45,1
spot_6,6,Tuesday,2025,7,20,45,0
spot_7,6,Tuesday,2025,7,20,45,1
spot_8,6,Tuesday,2025,7,20,45,0
spot_9,6,Tuesday,2025,7,20,45,0
spot_10,6,Tuesday,2025,7,20,45,1
spot_11,6,Tuesday,2025,7,20,45,1
spot_12,6,Tuesday,2025,7,20,45,1
spot_13,6,Tuesday,2025,7,20,45,0
spot_14,6,Tuesday,2025,7,20,45,0
spot_1,6,Tuesday,2025,7,21,44,0
spot_2,6,Tuesday,2025,7,21,44,0
spot_3,6,Tuesday,2025,7,21,44,0
spot_4,6,Tuesday,2025,7,21,44,0
spot_5,6,Tuesday,2025,7,21,44,1
spot_6,6,Tuesday,2025,7,21,44,0
spot_7,6,Tuesday,2025,7,21,44,1
spot_8,6,Tuesday,2025,7,21,44,0
spot_9,6,Tuesday,2025,7,21,44,0
spot_10,6,Tuesday,2025,7,21,44,1
spot_11,6,Tuesday,2025,7,21,44,1
spot_12,6,Tuesday,2025,7,21,44,1
spot_13,6,Tuesday,2025,7,21,44,0
spot_14,6,Tuesday,2025,7,21,44,0
spot_1,6,Tuesday,2025,7,22,44,0
spot_2,6,Tuesday,2025,7,22,44,0
spot_3,6,Tuesday,2025,7,22,44,0
spot_4,6,Tuesday,2025,7,22,44,0
spot_5,6,Tuesday,2025,7,22,44,1
spot_6,6,Tuesday,2025,7,22,44,0
spot_7,6,Tuesday,2025,7,22,44,1
spot_8,6,Tuesday,2025,7,22,44,0
spot_9,6,Tuesday,2025,7,22,44,0
spot_10,6,Tuesday,2025,7,22,44,0
spot_11,6,Tuesday,2025,7,22,44,1
spot_12,6,Tuesday,2025,7,22,44,1
spot_13,6,Tuesday,2025,7,22,44,0
spot_14,6,Tuesday,2025,7,22,44,0
spot_1,6,Tuesday,2025,7,23,44,0
spot_2,6,Tuesday,2025,7,23,44,0
spot_3,6,Tuesday,2025,7,23,44,0
spot_4,6,Tuesday,2025,7,23,44,0
